ACTIVE,ROA,ROE,ASSET,STNAME,BKCLASS
0,-11.2981459886089,-299.51,11521.0,Florida,SM
0,2.4737080110461083,24.57,274693.0,Delaware,NM
0,-5.781286210045662,0.0,21468.0,Texas,N
0,0.7217135821132067,9.26,40502.0,Nebraska,N
0,-2.5421064316030035,-51.14,10822.0,Hawaii,NC
0,-1.5362924789732122,-10.08,20079.0,Texas,SM
0,-2.6857708102275115,0.0,16080.0,Texas,N
0,0.7087160885917259,6.98,60038.0,California,N
0,0.2616348212162055,2.49,95482.0,Kansas,N
0,0.8173184415638438,12.79,331441.0,Arizona,NM
0,0.3007255348396739,1.97,736391.0,Texas,N
0,4.659381720430107,13.89,4290.0,Colorado,NM
0,2.043170423418476,24.45,156912.0,Georgia,NM
0,0.0578045644023928,0.74,3597242.0,Arizona,N
0,0.9871595073582866,13.63,1200658.0,Nevada,NM
0,-31.320842007864908,0.0,15962.0,Texas,N
0,0.7046407448148325,7.32,131252.0,Indiana,NM
0,-8.824547824670033,-469.14,17444.0,Texas,SM
0,2.0385268758613995,12.69,9789.0,Nebraska,NM
0,-6.3776234091734745,-129.47,5657341.0,California,NM
0,-13.863937989267372,0.0,25901.0,Arizona,SM
0,0.899220951433781,8.9,23359.0,Oklahoma,NM
0,-0.2431849560178237,-3.99,43240.0,Texas,N
0,-11.07579248199236,0.0,33844.0,Texas,N
0,1.0500516577137358,14.83,138152.0,Texas,N
0,4.599076962031157,71.6,157209.0,Colorado,N
0,1.8839319383412456,15.44,42056.0,Colorado,NM
0,1.456009917165869,17.23,103095.0,Louisiana,NM
0,0.3819974996527295,4.38,20543.0,Texas,N
0,0.2506658311138963,3.14,6349.0,Kansas,N
0,0.6046863189720333,6.44,17634.0,Texas,N
0,-29.198419565693342,0.0,26301.0,Texas,N
0,-30.601444141373108,0.0,34211.0,Texas,N
0,1.5824233309357223,25.67,97411.0,Colorado,SM
1,1.4133652544830035,21.26,2470582.0,Kansas,NM
0,0.6045583222715251,4.0,250224.0,Michigan,NM
1,0.8137652161511423,8.88,142240.0,Iowa,NM
1,0.5217206791172988,5.08,3804953.0,California,NM
1,1.1444114638151135,15.93,252012.0,Minnesota,N
1,1.6487829551314264,27.27,132718.0,Kentucky,NM
1,1.5001788742642,14.14,3482906.0,Georgia,NM
0,-0.9751290230555772,-10.19,58499.0,Texas,N
1,1.7818296516126135,13.81,1768297.0,Texas,N
1,0.4224942889967559,5.83,79499.0,Minnesota,N
1,0.8781577627639585,7.87,199648.0,New Mexico,NM
0,1.6091552221614145,16.2,178937.0,Washington,NM
1,0.7876827049328912,4.09,659684.0,Maine,SM
1,1.1693761933298956,21.29,247862.0,Kansas,NM
1,0.72207405363095,4.61,96350.0,Illinois,NM
1,0.9673327716316212,21.68,180599.0,Arkansas,SM
1,0.3447631750608899,4.64,295609.0,Ohio,SB
1,0.9859872914788405,16.42,560933.0,Pennsylvania,NM
1,0.4440751074678086,7.78,709376.0,Washington,N
0,0.6556154150722622,6.49,920864.0,New York,N
1,0.7738549469717027,11.98,652522.0,Iowa,N
1,1.15988510732217,15.32,402348.0,Ohio,NM
1,0.9133445146687956,10.46,2032400.0,Mississippi,NM
0,0.8128500311138768,8.76,105460.0,Nebraska,NM
1,1.8123109145915757,18.72,240981.0,Montana,NM
1,1.6908485515122789,13.24,760885.0,Tennessee,NM
0,0.722391317801547,8.1,120570.0,Minnesota,SB
0,0.6942264085121228,6.47,114622.0,New Mexico,NM
1,0.771449875427043,7.62,1087785.0,California,N
1,1.4846847649235868,12.33,124946.0,Iowa,NM
0,-0.3843451485167593,-4.86,257224.0,Massachusetts,SI
1,2.28874909458576,23.94,548394.0,Louisiana,NM
1,0.0170897108547513,0.18,165402.0,Iowa,NM
1,1.7420943289946276,9.95,673257.0,California,N
0,0.2909461069395167,2.1,712873.0,Illinois,NM
1,0.8393959212106114,7.67,633182.0,Florida,NM
1,-0.0212515331463198,-0.33,65329.0,Illinois,SI
1,1.6159173028817435,20.13,64948.0,North Dakota,NM
0,0.1399187170614193,1.71,747548.0,Florida,NM
1,0.910562955386518,10.11,2167826.0,Illinois,N
1,0.6407785331532686,8.8,82090.0,Kansas,SM
1,1.3486801067165897,10.49,266958.0,New Mexico,NM
1,0.3008713233524286,1.72,51640.0,Kentucky,SB
0,0.679813051410862,4.92,121303.0,Iowa,NM
1,1.3047433076657209,18.3,451651.0,Kentucky,NM
0,1.0808588859129633,6.39,476411.0,Missouri,NM
1,0.92988094741187,10.45,90342.0,Missouri,NM
1,1.4233553899492648,14.9,9798573.0,Ohio,N
1,0.8282214785436769,11.99,123264.0,South Carolina,SI
0,0.7949789272770827,7.73,324218.0,Pennsylvania,N
1,0.1239198715046255,1.68,40542.0,Illinois,SB
